side_effects,count
"swelling of your face, lips, tongue, or throat. Budesonide may cause serious side effects. Call your doctor at once if you have: thinning skin, easy bruising, increased acne or facial hair",1
"or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Zenzedi can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Zenzedi. Common side effects of Zenzedi may include: dry mouth, upset stomach , loss of appetite, weight loss",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Fast heartbeat Less common Chest pain fever joint pain skin rash or hives Rare Black, tarry stools blood in the urine or stools blurred vision or other changes in vision crusting, dryness, or flaking of the skin muscle cramps pinpoint red spots on the skin scaling, severe redness, soreness, or swelling of the skin seizures uncontrolled vocal outbursts or tics (uncontrolled and repeated body movements) unusual bleeding or bruising Incidence not known Agitation arm, back or jaw pain bleeding gums bloody nose chest discomfort, tightness, or heaviness chills clenching, gnashing, or grinding teeth confusion cough dark urine decreased interest in sexual intercourse diarrhea difficulty with speaking difficulty with swallowing discouragement dizziness double vision drowsiness fainting fast, pounding, or irregular heartbeat or pulse feeling like surroundings are not real feeling sad or empty feeling that others are watching you or controlling your behavior feeling that others can hear your thoughts feeling, seeing, or hearing things that are not there headache heavier menstrual periods inability to have or keep an erection inability to move the arms, legs, or facial muscles inability to speak irritability itching skin large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals loss in sexual ability, desire, drive, or performance loss of interest or pleasure mood swings muscle pain, stiffness, or spasms nausea nervousness numbness of the hands overactive reflexes painful or difficult urination pale skin paleness or cold feeling in the fingertips and toes poor coordination pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red, irritated eyes red, swollen, or scaly skin redness, soreness, or itching skin restlessness right upper quadrant tenderness seeing, hearing, or feeling things that are not there severe or sudden headache shivering slow speech slowed growth in children sore throat sores, ulcers, or white spots on the lips or in the mouth stuffy or runny nose sudden loss of coordination sudden slurring of speech sweating swollen glands talking or acting with excitement you cannot control tingling or pain in the fingers or toes when exposed to cold temperatures trembling or shaking tremor trouble concentrating trouble sleeping trouble breathing twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs unusual behavior unusual tiredness or weakness weight loss yellow skin or eyes Symptoms of overdose Agitation anxiety bigger, dilated, or enlarged pupils of the eyes confusion as to time, place, or person dark urine diarrhea dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position dry eyes, mouth, nose, or throat false or unusual sense of well-being fast, slow, irregular, pounding, or racing heartbeat or pulse holding false beliefs that cannot be changed by fact increased sensitivity of the eyes to light loss of consciousness muscle pain, cramps, stiffness, or twitching nervousness overactive reflexes pounding in the ears rapid, shallow breathing sweating tremors unusual excitement, nervousness, or restlessness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Loss of appetite stomach pain Less common Acid or sour stomach anger belching fear heartburn indigestion irritability scalp hair loss stomach discomfort or upset vomiting Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Aptensio XR side effects",1
"skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, or jaundice (yellowing of your skin or eyes). Armodafinil may cause serious side effects. Stop using armodafinil and call your doctor at once if you have: bruising, severe tingling, numbness , pain, muscle weakness",1
"unusual bleeding ( nosebleeds , bleeding gums)",1
"or signs of too much steroid medicine in your blood--acne, bruising, thinning skin, increased facial or body hair, stretch marks, increased body fat, or changes in the shape or location of body fat (especially in your face, neck, back, and waist). Common side effects of budesonide may include: headache , dizziness",1
skin sores or blistering,1
"chest pain, uneven heart beats",1
"or depression , anxiety , hallucinations, aggression, unusual thoughts or behavior, suicidal thoughts. Common side effects of armodafinil may include: headache , dizziness",1
"swelling of your face, lips, tongue, or throat. Mesalamine may cause serious side effects. Stop using mesalamine and call your doctor at once if you have: severe stomach pain, stomach cramping, bloody diarrhea",1
"swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Desvenlafaxine may cause serious side effects. Call your doctor at once if you have: a seizure",1
"or low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Common side effects of desvenlafaxine may include: dizziness , drowsiness, anxiety",1
"low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, feeling light-headed, trouble breathing",1
"signs of a kidney stone--severe pain in your side and back, frequent need to urinate, foul-smelling urine, dark or cloudy urine",1
"kidney problems--increased or decreased urination, swelling, weight gain",1
"or liver problems--loss of appetite, upper stomach pain, tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Low white blood cell counts may be more likely in older adults. Common side effects of mesalamine may include: burping , constipation , nausea , vomiting , stomach pain, diarrhea, gas",1
"swelling of your face, lips, tongue, or throat. Stop using Lialda and call your doctor at once if you have: severe stomach pain, stomach cramping, bloody diarrhea",1
"swelling of your face, lips, tongue, or throat. Evekeo may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out",1
"or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Evekeo can affect growth. Tell your doctor if your child is not growing at a normal rate. Common side effects of Evekeo may include: increased heart rate",1
"Mydayis can cause serious side effects, including: See Important information Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Your healthcare provider may stop your child’s treatment if they are not growing or gaining weight as expected. Circulation problems in fingers and toes (peripheral vasculopathy, including Raynaud’s phenomenon). Signs and symptoms may include: fingers or toes may feel numb, cool, painful fingers or toes may change color from pale, to blue, to red Tell your healthcare provider if you have or your child has any numbness, pain, skin color change, or sensitivity to temperature in your fingers or toes. Call your healthcare provider if you or your child have any signs of unexplained wounds appearing on fingers or toes during treatment. Seizures. Your healthcare provider will stop treatment if you have a seizure. Serotonin syndrome. This problem may happen when Mydayis is taken with certain other medicines and may be life threatening. Call your healthcare provider or go to the nearest hospital emergency room if you get symptoms of serotonin syndrome which may include: agitation, hallucinations, coma, or other changes in mental status sweating or fever problems controlling movements or muscle twitching nausea, vomiting, or diarrhea fast heartbeat muscle stiffness or tightness The most common side effects include: trouble sleeping increased heart rate irritability decreased appetite anxiety weight loss dry mouth nausea These are not all the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Mydayis side effects",1
"or liver problems - loss of appetite, upper stomach pain, tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Low white blood cell counts may be more likely in older adults. Common Lialda side effects may include: burping , constipation , nausea , vomiting , stomach pain, diarrhea, gas",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Bloody diarrhea rectal bleeding stomach pain Less common Bloody stools bloody urine blurred vision chest tightness chills clay-colored stools cough dark urine diarrhea difficulty with breathing dizziness fever full or bloated feeling general feeling of discomfort or illness headache itching, skin rash joint pain loss of appetite muscle aches and pains nausea nervousness pain or tenderness around the eyes and cheekbones pounding in the ears pressure in the stomach runny or stuffy nose shivering slow or fast heartbeat sore throat stomach cramps sweating swelling of the stomach area trouble sleeping unpleasant breath odor unusual tiredness or weakness vomiting vomiting of blood yellow eyes or skin Rare Anxiety back pain blue or pale skin chest pain, possibly moving to the left arm, neck, or shoulder Incidence not known Black, tarry stools blistering, peeling, or loosening of the skin bloating change in the ability to see colors, especially blue or yellow chest discomfort constipation decreased frequency or amount of urine dry cough greatly increased frequency of urination or amount of urine hives or welts hoarseness inability to move the arms and legs increased thirst indigestion large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals light-colored stools lower back or side pain muscle weakness, sudden and progressing pain in the ankles or knees painful or difficult urination painful, red lumps under the skin, mostly on the legs rapid breathing red, irritated eyes red skin lesions, often with a purple center severe nausea or vomiting sores, ulcers, or white spots in the mouth or on the lips stomach tenderness sudden numbness and weakness in the arms and legs swelling of the feet or lower legs swollen or painful glands thickening of bronchial secretions unusual bleeding or bruising weight gain Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Sneezing Less common Acne belching continuing ringing or buzzing or other unexplained noise in the ears difficulty with moving dizziness or lightheadedness excess air or gas in the stomach or bowels feeling of constant movement of self or surroundings hair loss or thinning of the hair hearing loss heartburn muscle stiffness passing gas sensation of spinning stomach discomfort or upset Incidence not known Burning, numbness, tingling, or painful sensations unsteadiness or awkwardness weakness in the arms, hands, legs, or feet Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Asacol side effects",1
"swelling of your face, lips, tongue, or throat. Stop using Pentasa and call your doctor at once if you have: severe stomach pain, stomach cramping, bloody diarrhea",1
"or liver problems - loss of appetite, upper stomach pain, tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Low white blood cell counts may be more likely in older adults. Common Pentasa side effects may include: burping , constipation , nausea , vomiting , stomach pain, diarrhea, gas",1
"swelling of your face, lips, tongue, or throat. Stop using Apriso and call your doctor at once if you have: severe stomach pain, stomach cramping, bloody diarrhea",1
"or liver problems - loss of appetite, upper stomach pain, tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Low white blood cell counts may be more likely in older adults. Common Apriso side effects may include: burping , constipation , nausea , vomiting , stomach pain, diarrhea, gas",1
"Some side effects may occur during the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy or tingly, short of breath, or have a headache , fever, chills, muscle or joint pain , pain or tightness in your throat, chest pain, or trouble swallowing during the injection. Infusion reactions may also occur within 1 or 2 hours after injection. hives",1
"fever, chills, severe dizziness",1
"swelling of your face, lips, tongue, or throat. Serious and sometimes fatal infections may occur during treatment with Remicade. Call your doctor right away if you have signs of infection such as: fever, extreme tiredness, flu symptoms, cough, or skin symptoms (pain, warmth, or redness). Also call your doctor if you have: skin changes, new growths on the skin",1
"delayed allergic reaction (up to 12 days after receiving Remicade) - fever, sore throat , trouble swallowing, headache, joint or muscle pain , skin rash , or swelling in your face or hands",1
"liver problems - right-sided upper stomach pain, loss of appetite, yellowing of your skin or eyes (jaundice), and not feeling well",1
"lupus -like syndrome - joint pain or swelling, chest discomfort, feeling short of breath, skin rash on your cheeks or arms (worsens in sunlight)",1
"nerve problems - numbness or tingling, problems with vision, weakness in your arms or legs, seizure",1
"swelling of your face, lips, tongue, or throat. Adzenys ER may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out",1
"signs of heart failure - shortness of breath with swelling of your ankles or feet, rapid weight gain",1
"signs of a stroke - sudden numbness or weakness, trouble speaking or understanding what is said to you, problems with vision or balance, severe headache",1
"signs of lymphoma - fever, night sweats , weight loss , stomach pain or swelling, chest pain, cough, trouble breathing, swollen glands (in your neck, armpits, or groin)",1
"or signs of tuberculosis - fever, cough, night sweats, loss of appetite, weight loss, feeling constantly tired. Serious infections may be more likely in adults who are 65 years or older. Common Remicade side effects may include: stuffy nose, sinus pain",1
"cough, chest pain, shortness of breath",1
high or low blood pressure,1
"headache, feeling light-headed",1
"Infliximab can cause serious side effects, including: See “Important information” Serious Infections Some patients, especially those 65 years and older have had serious infections while receiving infliximab. These serious infections include TB and infections caused by viruses, fungi, or bacteria that have spread throughout the body or cause infections in certain areas (such as skin). Some patients die from these infections. If you get an infection while receiving treatment with infliximab your doctor will treat your infection and may need to stop your infliximab treatment. Tell your doctor right away if you have any of the following signs of an infection while receiving or after receiving infliximab: a fever have flu-like symptoms feel very tired warm, red, or painful skin have a cough Your doctor will examine you for TB and perform a test to see if you have TB. If your doctor feels that you are at risk for TB, you may be treated with medicine for TB before you begin treatment with infliximab and during treatment with infliximab. Even if your TB test is negative, your doctor should carefully monitor you for TB infections while you are receiving infliximab. Patients who had a negative TB skin test before receiving infliximab have developed active TB. If you are a chronic carrier of the hepatitis B virus, the virus can become active while you are being treated with infliximab. In some cases, patients have died as a result of hepatitis B virus being reactivated. Your doctor should do a blood test for hepatitis B virus before you start treatment with infliximab and occasionally while you are being treated. Tell your doctor if you have any of the following symptoms: feel unwell tiredness (fatigue) poor appetite fever, skin rash, or joint pain Heart Failure If you have a heart problem called congestive heart failure, your doctor should check you closely while you are receiving infliximab. Your congestive heart failure may get worse while you are receiving infliximab. Be sure to tell your doctor of any new or worse symptoms including: shortness of breath sudden weight gain swelling of ankles or feet Treatment with infliximab may need to be stopped if you get new or worse congestive heart failure. Other Heart Problems Some patients have experienced a heart attack (some of which led to death), low blood flow to the heart, or abnormal heart rhythm within 24 hours of beginning their infusion of infliximab. Symptoms may include chest discomfort or pain, arm pain, stomach pain, shortness of breath, anxiety, lightheadedness, dizziness, fainting, sweating, nausea, vomiting, fluttering or pounding in your chest, and/or a fast or a slow heartbeat. Tell your doctor right away if you have any of these symptoms. Liver Injury Some patients receiving infliximab have developed serious liver problems. Tell your doctor if you have: jaundice (skin and eyes turning yellow) fever dark brown-colored urine extreme tiredness (severe fatigue) pain on the right side of your stomach area (right-sided abdominal pain) Blood Problems In some patients receiving infliximab, the body may not make enough of the blood cells that help fight infections or help stop bleeding. Tell your doctor if you: have a fever that does not go away look very pale bruise or bleed very easily Nervous System Disorders Some patients receiving infliximab have developed problems with their nervous system. Tell your doctor if you have: changes in your vision seizures numbness or tingling in any part of your weakness in your arms or legs body Some patients have experienced a stroke within approximately 24 hours of their infusion with infliximab. Tell your doctor right away if you have symptoms of a stroke which may include: numbness or weakness of the face, arm or leg, especially on one side of the body",1
"or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Adzenys ER can affect growth. Tell your doctor if your child is not growing at a normal rate. Common side effects of Adzenys ER may include: increased heart rate",1
